NO,KABUPATEN JAWA BARAT,BTS,SINYAL KUAT,SINYAL LEMAH,TIDAK ADA SINYAL,4G/LTE
1,BOGOR,333,377,38,1,232
2,SUKABUMI,233,311,64,6,152
3,CIANJUR,202,269,85,0,163
4,BANDUNG,226,255,15,0,212
5,GARUT,273,340,79,2,139
6,TASIKMALAYA,218,300,49,2,101
7,CIAMIS,177,227,31,0,117
8,KUNINGAN,160,339,22,0,124
9,CIREBON,256,403,9,0,261
10,MAJALENGKA,163,314,16,0,156
11,SUMEDANG,164,254,16,0,114
12,INDRAMAYU,240,304,5,0,177
13,SUBANG,199,236,9,0,104
14,PURWAKARTA,137,168,15,0,95
15,KARAWANG,219,270,27,0,120
16,BANDUNG BARAT,119,153,12,0,84
17,PANGANDARAN,67,74,19,0,40
18,BANJAR,22,15,1,0,17
19,BEKASI,49,170,9,0,51
